epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5329,1.76331,10.7339,2.32923,0.55493,1,0.995,0.2985,2.07333,9.43232,2.77264,0.0001667,0.0001667,0.0001667
2,128.492,1.41265,4.44811,1.76745,0.2,1,0.24875,0.04975,1.86488,6.14221,1.80118,0.000346604,0.000346604,0.000346604
3,193.851,1.37828,2.98993,1.69951,0,0,0,0,1.49008,12.8626,2.04132,0.000522878,0.000522878,0.000522878
4,256.22,1.40578,2.19622,1.74095,0,0,0,0,1.40137,17.5215,2.18005,0.000695521,0.000695521,0.000695521
5,325.125,1.38838,1.76638,1.71326,0,0,0,0,2.99058,5.33158,4.3813,0.000864533,0.000864533,0.000864533
6,388.722,1.41035,1.44549,1.61946,0.78363,1,0.995,0.11759,3.13639,2.03322,3.52818,0.00102991,0.00102991,0.00102991
7,447.394,1.52228,1.44157,1.79207,0.9241,1,0.995,0.31271,2.32658,1.62586,2.53275,0.00119166,0.00119166,0.00119166
8,506.915,1.40354,1.39764,1.72941,0,0,0,0,3.92849,2.79169,5.45156,0.00134978,0.00134978,0.00134978
9,567.204,1.47854,1.45241,1.73875,0.14209,1,0.16583,0.08292,2.75142,9.10612,3.30504,0.00150427,0.00150427,0.00150427
10,637.609,1.53321,1.31005,1.81625,0.0061,1,0.03015,0.01508,2.70883,6.03441,3.1698,0.00151847,0.00151847,0.00151847
11,697.025,1.40641,1.20689,1.65495,0.00633,1,0.02551,0.01021,3.40909,8.55663,4.30623,0.00150197,0.00150197,0.00150197
12,761.63,1.39668,1.21857,1.66411,0.49817,1,0.995,0.30248,2.67595,5.82935,2.90708,0.00148546,0.00148546,0.00148546
13,832.869,1.46571,1.17949,1.68549,0.92982,1,0.995,0.11113,2.85905,3.71165,3.92131,0.00146896,0.00146896,0.00146896
14,899.521,1.37791,1.14398,1.65161,0.15774,1,0.199,0.0398,2.96783,7.67129,3.39519,0.00145246,0.00145246,0.00145246
15,967.436,1.3283,1.11013,1.56052,0.89314,1,0.995,0.597,1.45971,0.99859,1.66139,0.00143595,0.00143595,0.00143595
16,1028.67,1.38321,1.04692,1.62342,0.86833,1,0.995,0.26533,2.20651,1.83556,2.53733,0.00141945,0.00141945,0.00141945
17,1090.09,1.31715,0.92718,1.57789,0.90075,1,0.995,0.398,2.94737,1.31972,3.50658,0.00140295,0.00140295,0.00140295
18,1151.85,1.35834,0.87833,1.6,0.93719,1,0.995,0.597,1.86122,1.29546,2.63085,0.00138644,0.00138644,0.00138644
19,1214.76,1.4389,0.86904,1.58664,0.93174,1,0.995,0.597,2.01102,2.35332,2.19351,0.00136994,0.00136994,0.00136994
20,1287.59,1.31902,0.85576,1.55005,0.92473,1,0.995,0.4975,2.34851,1.58394,3.00209,0.00135344,0.00135344,0.00135344
21,1345.62,1.33042,0.85664,1.54296,0.92784,1,0.995,0.50026,2.02058,1.41203,2.39145,0.00133693,0.00133693,0.00133693
22,1412.92,1.30468,0.8588,1.53641,0.94435,1,0.995,0.50019,2.00804,1.18375,2.39946,0.00132043,0.00132043,0.00132043
23,1475.09,1.27444,0.79735,1.53543,0.93014,1,0.995,0.597,1.72371,0.85313,2.76798,0.00130393,0.00130393,0.00130393
24,1536.57,1.2636,0.75363,1.49706,0.92008,1,0.995,0.4975,1.8272,1.10443,2.71831,0.00128742,0.00128742,0.00128742
25,1600.06,1.2575,0.88397,1.44816,0.48644,1,0.4975,0.2985,1.88903,1.15703,2.46567,0.00127092,0.00127092,0.00127092
26,1662.92,1.2867,0.9181,1.63096,0.49108,1,0.995,0.4975,2.06991,1.35404,2.70689,0.00125442,0.00125442,0.00125442
27,1731.75,1.35987,0.87436,1.55581,0.91341,1,0.995,0.4975,2.20835,1.23607,2.75861,0.00123791,0.00123791,0.00123791
28,1800.24,1.22226,0.73879,1.44866,0.96563,1,0.995,0.597,1.86344,0.8175,2.19403,0.00122141,0.00122141,0.00122141
29,1860.45,1.18756,0.7574,1.43778,0.95815,1,0.995,0.41044,2.02693,1.12314,2.37838,0.00120491,0.00120491,0.00120491
